City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs),Date
120,Chokurdakh,70.62,147.9,-21.48,99,84,3.83,RU,broken clouds,0,0,1/5/2020 20:03
121,Tripoli,37.51,22.37,50,70,100,6.93,GR,light rain,0,0,1/5/2020 20:03
122,Eyl,7.98,49.82,78.37,84,49,12.3,SO,scattered clouds,0,0,1/5/2020 20:03
123,Shimoda,34.7,138.93,34,80,100,15.12,JP,light rain,0.5,0,1/5/2020 20:03
124,Mahebourg,-20.41,57.7,73.4,100,75,5.82,MU,moderate rain,0,0,1/5/2020 19:59
125,Nikolskoye,59.7,30.79,24.01,79,81,2.24,RU,broken clouds,0,0,1/5/2020 20:03
126,Port Blair,11.67,92.75,80.74,78,0,13.67,IN,clear sky,0,0,1/5/2020 20:03
127,Harper,30.3,-99.24,73.99,17,1,10.29,US,clear sky,0,0,1/5/2020 19:59
128,College,64.86,-147.8,-23.01,96,75,3.36,US,snow,0,0,1/5/2020 20:03
129,Spencer,42.24,-71.99,37.99,47,75,14.99,US,broken clouds,0,0,1/5/2020 20:03
130,San Patricio,-26.98,-56.83,93.25,32,24,2.8,PY,few clouds,0,0,1/5/2020 20:03
131,Laela,-8.57,32.05,61.72,90,100,2.39,TZ,overcast clouds,0,0,1/5/2020 20:03
132,Puri,-7.54,112.45,75.27,86,100,4.76,ID,overcast clouds,0,0,1/5/2020 20:03
133,Torbay,47.66,-52.73,30.99,100,90,19.46,CA,snow,0,0,1/5/2020 20:03
134,Meridian,43.61,-116.39,37.99,100,75,5.82,US,light rain,0,0,1/5/2020 20:00
135,Barrow,-38.31,-60.23,73.53,76,100,3.74,AR,moderate rain,7.25,0,1/5/2020 20:03
