City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
288,Xining,CN,2020-01-03 05:17:36,36.62,101.77,33.04,27,82,4.43
289,Mishelevka,RU,2020-01-03 05:20:23,52.86,103.17,20.3,86,74,5.32
290,Mastic Beach,US,2020-01-03 05:20:23,40.77,-72.85,46.4,70,90,6.93
291,Cayambe,EC,2020-01-03 05:20:24,0.04,-78.14,55.4,93,75,1.74
292,Kinablangan,PH,2020-01-03 05:20:24,7.69,126.55,76.26,86,100,2.73
293,Byron Bay,AU,2020-01-03 05:18:05,-28.65,153.62,87.8,45,0,17.22
294,Mani,NG,2020-01-03 05:20:24,12.12,6.75,48.56,32,0,13.98
295,Lisakovsk,KZ,2020-01-03 05:20:24,52.55,62.49,13.12,94,79,2.71
296,Carnarvon,ZA,2020-01-03 05:20:24,-30.97,22.13,71.1,50,0,9.42
297,Lima,PE,2020-01-03 05:20:22,-12.06,-77.04,71.6,83,75,12.75
298,Severo-Kurilsk,RU,2020-01-03 05:20:25,50.68,156.12,16.52,82,61,5.77
299,Thaba Nchu,ZA,2020-01-03 05:20:25,-29.2,26.83,69.8,64,48,10.29
300,Buraydah,SA,2020-01-03 05:20:25,26.33,43.97,50.0,71,2,1.48
